Timestamp,Emotion
2025-08-30 13:30:38,Neutral
2025-08-30 13:30:39,Neutral
2025-08-30 13:30:39,Neutral
2025-08-30 13:30:39,Neutral
2025-08-30 13:30:39,Neutral
2025-08-30 13:30:39,Neutral
2025-08-30 13:30:39,Neutral
2025-08-30 13:30:40,Neutral
2025-08-30 13:30:40,Neutral
2025-08-30 13:30:40,Neutral
2025-08-30 13:30:40,Neutral
2025-08-30 13:30:40,Neutral
2025-08-30 13:30:41,Neutral
2025-08-30 13:30:41,Neutral
2025-08-30 13:30:41,Neutral
2025-08-30 13:30:41,Neutral
2025-08-30 13:30:41,Neutral
2025-08-30 13:30:41,Neutral
2025-08-30 13:30:42,Neutral
2025-08-30 13:30:42,Neutral
2025-08-30 13:30:42,Neutral
2025-08-30 13:30:42,Neutral
2025-08-30 13:30:42,Neutral
2025-08-30 13:30:42,Neutral
2025-08-30 13:30:43,Neutral
2025-08-30 13:30:43,Neutral
2025-08-30 13:30:43,Neutral
2025-08-30 13:30:43,Neutral
2025-08-30 13:30:43,Neutral
2025-08-30 13:30:44,Neutral
2025-08-30 13:30:44,Neutral
2025-08-30 13:30:44,Neutral
2025-08-30 13:30:44,Neutral
2025-08-30 13:30:44,Neutral
2025-08-30 13:30:44,Neutral
2025-08-30 13:30:45,Neutral
2025-08-30 13:30:45,Neutral
2025-08-30 13:30:45,Neutral
2025-08-30 13:30:45,Neutral
2025-08-30 13:30:45,Neutral
2025-08-30 13:30:46,Neutral
2025-08-30 13:30:46,Neutral
2025-08-30 13:30:46,Neutral
2025-08-30 13:30:46,Neutral
2025-08-30 13:30:46,Neutral
2025-08-30 13:30:47,Neutral
2025-08-30 13:30:47,Neutral
2025-08-30 13:30:47,Neutral
2025-08-30 13:30:47,Neutral
2025-08-30 13:30:47,Neutral
2025-08-30 13:30:48,Neutral
2025-11-03 01:06:44,Neutral
2025-11-03 01:06:45,Happy
2025-11-03 01:06:47,Neutral
2025-11-03 01:06:48,Neutral
2025-11-03 01:06:49,Neutral
2025-11-03 01:06:50,Neutral
2025-11-03 01:06:53,Neutral
2025-11-03 01:11:26,Neutral
2025-11-03 01:11:32,Sad
2025-11-03 01:11:33,Neutral
2025-11-03 01:11:33,Neutral
2025-11-03 01:11:34,Happy
2025-11-03 01:11:34,Sad
2025-11-03 01:11:34,Neutral
2025-11-03 01:11:35,Neutral
2025-11-03 01:11:35,Neutral
2025-11-03 01:11:35,Neutral
2025-11-03 01:11:35,Neutral
2025-11-03 01:11:35,Neutral
2025-11-03 01:11:35,Neutral
2025-11-03 01:11:36,Neutral
2025-11-03 01:11:36,Neutral
2025-11-03 01:11:36,Neutral
2025-11-03 01:11:36,Neutral
2025-11-03 01:11:36,Neutral
2025-11-03 01:11:37,Neutral
2025-11-03 01:11:37,Neutral
2025-11-03 01:11:37,Neutral
2025-11-03 01:11:37,Neutral
2025-11-03 01:11:38,Sad
2025-11-03 01:11:38,Sad
2025-11-03 01:11:39,Sad
2025-11-03 01:11:39,Neutral
2025-11-03 01:11:39,Sad
2025-11-03 01:11:39,Neutral
2025-11-03 01:11:42,Neutral
2025-11-03 01:11:42,Neutral
2025-11-03 01:11:42,Neutral
2025-11-03 01:11:42,Neutral
2025-11-03 01:11:42,Neutral
2025-11-03 01:11:42,Neutral
2025-11-03 01:11:43,Neutral
2025-11-03 01:11:43,Neutral
2025-11-03 01:11:43,Neutral
2025-11-03 01:11:43,Neutral
2025-11-03 01:11:43,Neutral
2025-11-03 01:11:44,Neutral
2025-11-03 01:11:44,Neutral
2025-11-03 01:11:44,Happy
2025-11-03 01:11:44,Neutral
2025-11-03 01:11:44,Neutral
2025-11-03 01:11:45,Neutral
2025-11-03 01:11:45,Neutral
2025-11-03 01:11:46,Neutral
2025-11-03 01:11:46,Neutral
2025-11-03 01:11:48,Neutral
2025-11-03 01:11:48,Neutral
2025-11-03 01:11:49,Neutral
2025-11-03 01:11:49,Neutral
2025-11-03 01:11:49,Neutral
2025-11-03 01:11:50,Neutral
2025-11-03 01:11:51,Neutral
2025-11-03 01:11:51,Neutral
2025-11-03 01:11:51,Neutral
2025-11-03 01:12:22,Angry
2025-11-03 01:12:25,Neutral
2025-11-03 01:12:26,Neutral
2025-11-03 01:12:27,Fear
2025-11-03 01:12:27,Happy
2025-11-03 01:12:27,Fear
2025-11-03 01:12:27,Surprise
2025-11-03 01:12:27,Happy
2025-11-03 01:12:28,Happy
2025-11-03 01:12:28,Happy
2025-11-03 01:12:28,Neutral
2025-11-03 01:12:28,Sad
2025-11-03 01:12:28,Angry
2025-11-03 01:12:28,Happy
2025-11-03 01:12:29,Happy
2025-11-03 01:12:29,Happy
2025-11-03 01:12:29,Fear
2025-11-03 01:12:29,Neutral
2025-11-03 01:12:30,Neutral
2025-11-03 01:12:30,Fear
2025-11-03 01:12:30,Neutral
2025-11-03 01:12:30,Neutral
2025-11-03 01:12:30,Fear
2025-11-03 01:12:31,Happy
2025-11-03 01:12:31,Happy
2025-11-03 01:12:31,Neutral
2025-11-03 01:12:31,Neutral
2025-11-03 01:12:31,Happy
2025-11-03 01:12:32,Neutral
2025-11-03 01:12:41,Neutral
2025-11-03 01:12:41,Neutral
2025-11-03 01:12:49,Sad
